gameId,teamId,teamCity,teamName,gameType,availableFlag,efgPct,ftaRate,gameDate,gameDateTimeEst,home,matchup,min,oppEfgPct,oppFtaRate,oppOrebPct,oppTovPct,opponentTeamCity,opponentTeamId,opponentTeamName,orebPct,teamAbbreviation,teamName_right,tmTovPct,win,wl
22500735,1610612762,Utah,Jazz,Regular Season,1,0.525,0.198,2026-02-05T00:00:00,2026-02-05 19:30:00,0,UTA @ ATL,48.0,0.531,0.235,0.377,0.101,Atlanta,1610612737,Hawks,0.421,UTA,,0.111,0,L
22500736,1610612761,Toronto,Raptors,Regular Season,1,0.644,0.149,2026-02-05T00:00:00,2026-02-05 19:30:00,1,TOR vs. CHI,48.0,0.549,0.088,0.38,0.177,Chicago,1610612741,Bulls,0.308,TOR,,0.128,1,W
22500735,1610612737,Atlanta,Hawks,Regular Season,1,0.531,0.235,2026-02-05T00:00:00,2026-02-05 19:30:00,1,ATL vs. UTA,48.0,0.525,0.198,0.421,0.111,Utah,1610612762,Jazz,0.377,ATL,,0.101,1,W
22500737,1610612745,Houston,Rockets,Regular Season,1,0.506,0.241,2026-02-05T00:00:00,2026-02-05 20:00:00,1,HOU vs. CHA,48.0,0.511,0.253,0.462,0.229,Charlotte,1610612766,Hornets,0.34,HOU,,0.186,0,L
22500726,1610612743,Denver,Nuggets,Regular Season,1,0.5,0.257,2026-02-04T00:00:00,2026-02-04 19:00:00,0,DEN @ NYK,58.0,0.59,0.19,0.269,0.108,New York,1610612752,Knicks,0.383,DEN,,0.144,0,L
22500726,1610612752,New York,Knicks,Regular Season,1,0.59,0.19,2026-02-04T00:00:00,2026-02-04 19:00:00,1,NYK vs. DEN,58.0,0.5,0.257,0.383,0.144,Denver,1610612743,Nuggets,0.269,NYK,,0.108,1,W
22500729,1610612749,Milwaukee,Bucks,Regular Season,1,0.723,0.109,2026-02-04T00:00:00,2026-02-04 20:00:00,1,MIL vs. NOP,53.0,0.606,0.309,0.212,0.076,New Orleans,1610612740,Pelicans,0.231,MIL,,0.142,1,W
22500729,1610612740,New Orleans,Pelicans,Regular Season,1,0.606,0.309,2026-02-04T00:00:00,2026-02-04 20:00:00,0,NOP @ MIL,53.0,0.723,0.109,0.231,0.142,Milwaukee,1610612749,Bucks,0.212,NOP,,0.076,0,L
22500730,1610612759,San Antonio,Spurs,Regular Season,1,0.515,0.198,2026-02-04T00:00:00,2026-02-04 21:30:00,1,SAS vs. OKC,48.0,0.5,0.151,0.19,0.133,Oklahoma City,1610612760,Thunder,0.356,SAS,,0.133,1,W
22500732,1610612739,Cleveland,Cavaliers,Regular Season,1,0.592,0.133,2026-02-04T00:00:00,2026-02-04 22:30:00,0,CLE @ LAC,48.0,0.5,0.15,0.256,0.242,LA,1610612746,Clippers,0.308,CLE,,0.091,1,W
